Año,Mes,Departamento,Ciudad,País de Residencia,Extranjeros no Residentes
2024,4,Cundinamarca,Guaduas,Estados Unidos,2
2024,4,Meta,Villavicencio,Turquía,1
2024,4,Atlántico,Barranquilla,Bolivia,77
2024,4,Cundinamarca,Bojacá,Bélgica,1
2024,4,Valle del Cauca,El Cerrito,Nicaragua,2
2024,4,Antioquia,Caldas,Perú,1
2024,4,Magdalena,Santa Marta,Irlanda,11
2024,4,Boyacá,Duitama,Francia,2
2024,4,Norte de Santander,Chinácota,Venezuela,11
2024,4,Antioquia,Retiro,España,3
2024,4,Nariño,Pasto,Canadá,5
2024,4,Córdoba,Planeta Rica,Perú,1
2024,4,La Guajira,Riohacha,Francia,3
2024,4,Cundinamarca,Chía,Reino Unido,7
2024,4,Magdalena,Fundación,Estados Unidos,4
2024,4,Magdalena,Santa Marta,Bielorrusia,1
2024,4,Antioquia,Medellín,Qatar,1
2024,4,Quindío,Armenia,Ecuador,111
2024,4,Nariño,Pasto,República Checa,1
2024,4,Antioquia,Maceo,Costa Rica,1
2024,4,Guainía,Inírida,Brasil,4
2024,4,Antioquia,Rionegro,Israel,4
2024,4,Quindío,Salento,Reino Unido,16
2024,4,Antioquia,Santa Rosa de Osos,Ecuador,1
2024,4,Cundinamarca,Cogua,Luxemburgo,1
2024,4,Cauca,Popayán,Cuba,1
2024,4,La Guajira,Uribia,Países Bajos,1
2024,4,Cundinamarca,Madrid,Canadá,1
2024,4,Cundinamarca,Chía,Italia,4
2024,4,Caldas,Manzanares,Panamá,1
2024,4,Valle del Cauca,Jamundí,Perú,3
2024,4,Valle del Cauca,Alcalá,Alemania,3
2024,4,Magdalena,Santa Marta,Nueva Zelanda,3
2024,4,Quindío,Montenegro,Costa Rica,1
2024,4,Meta,Puerto Gaitán,Canadá,10
2024,4,Cundinamarca,La Calera,Chile,2
2024,4,San Andres y Providencia,Providencia,El Salvador,1
2024,4,Valle del Cauca,Palmira,Uruguay,1
2024,4,Valle del Cauca,Bugalagrande,Venezuela,7
2024,4,Norte de Santander,Villa del Rosario,Ecuador,4
2024,4,Valle del Cauca,Cali,Benín,1
2024,4,Boyacá,Guateque,Perú,1
2024,4,Antioquia,Marinilla,México,5
2024,4,Boyacá,Ráquira,Brasil,1
2024,4,Guainía,Puerto Colombia,Canadá,1
2024,4,Amazonas,Leticia,Grecia,2
2024,4,Magdalena,Santa Marta,República Dominicana,29
2024,4,Cundinamarca,Zipaquirá,Estados Unidos,25
2024,4,Valle del Cauca,Tuluá,El Salvador,1
2024,4,Meta,Granada,Perú,1
2024,4,Boyacá,Tunja,Italia,2
2024,4,Norte de Santander,Villa del Rosario,México,4
2024,4,Tolima,Honda,Estados Unidos,3
2024,4,Antioquia,Guatape,Costa Rica,44
2024,4,Norte de Santander,Hacarí,Venezuela,1
2024,4,Sucre,Coveñas,Ecuador,4
2024,4,Nariño,Guachucal,Ecuador,1
2024,4,Boyacá,Turmequé,Ecuador,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Níger,1
2024,4,Antioquia,Apartadó,España,1
2024,4,Antioquia,Santa Bárbara,Estados Unidos,7
2024,4,Nariño,La Unión,Ecuador,3
2024,4,Antioquia,Medellín,Australia,250
2024,4,La Guajira,Fonseca,Uruguay,1
2024,4,Atlántico,Baranoa,España,1
2024,4,Cundinamarca,Cota,México,9
2024,4,Norte de Santander,Pamplona,Venezuela,14
2024,4,Cundinamarca,Chipaque,Nueva Zelanda,1
2024,4,Antioquia,La Unión,Chile,1
2024,4,Cundinamarca,Caparrapí,República Dominicana,1
2024,4,Cundinamarca,Zipaquirá,Chile,4
2024,4,San Andres y Providencia,San Andrés,Venezuela,85
2024,4,Antioquia,Bello,Italia,3
2024,4,Valle del Cauca,El Cerrito,Italia,1
2024,4,Santander,Piedecuesta,Argentina,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Italia,1607
2024,4,Quindío,Calarca,Panamá,1
2024,4,Antioquia,Rionegro,Estados Unidos,519
2024,4,Antioquia,Copacabana,Ecuador,4
2024,4,Caldas,Manizales,República Dominicana,3
2024,4,Cesar,Gamarra,Venezuela,1
2024,4,Quindío,Pijao,Perú,1
2024,4,Caldas,Chinchiná,Francia,3
2024,4,Cundinamarca,Funza,España,1
2024,4,Santander,Floridablanca,Puerto Rico,3
2024,4,Huila,Neiva,Belice,1
2024,4,Antioquia,El Carmen de Viboral,México,3
2024,4,San Andres y Providencia,San Andrés,Argentina,488
2024,4,Antioquia,Guarne,Aruba,2
2024,4,Valle del Cauca,Cartago,Chile,12
2024,4,Arauca,Arauca,Chile,1
2024,4,Caquetá,Cartagena del Chairá,Ecuador,7
2024,4,Antioquia,Santafé de Antioquia,Canadá,2
2024,4,Cundinamarca,Villeta,Argentina,4
2024,4,Magdalena,Santa Bárbara de Pinto,Costa Rica,1
2024,4,Santander,Barrancabermeja,Estados Unidos,14
2024,4,Meta,Villavicencio,República Dominicana,10
2024,4,Risaralda,Apía,México,1
2024,4,Santander,Girón,Francia,1
2024,4,Tolima,Alpujarra,Brasil,1
2024,4,Magdalena,El Banco,Ecuador,1
2024,4,Risaralda,Pereira,Venezuela,69
2024,4,Antioquia,Envigado,Nicaragua,1
2024,4,Bolívar,Cartagena,San Cristóbal y Nieves,2
2024,4,Valle del Cauca,Restrepo,Estados Unidos,6
2024,4,Norte de Santander,Puerto Santander,Venezuela,1
2024,4,Magdalena,Guamal,México,1
2024,4,Sucre,Sincelejo,Países Bajos,1
2024,4,Norte de Santander,Abrego,Argentina,1
2024,4,Cundinamarca,Guasca,Venezuela,3
2024,4,San Andres y Providencia,Providencia,Chile,82
2024,4,La Guajira,Riohacha,Alemania,3
2024,4,Antioquia,Medellín,San Cristóbal y Nieves,7
2024,4,Magdalena,Santa Marta,Cuba,3
2024,4,Bogota D.C.,"Bogotá, D.C.",Emiratos Árabes Unidos,45
2024,4,Amazonas,Leticia,España,16
2024,4,Antioquia,San Rafael,Argentina,1
2024,4,Norte de Santander,Pamplona,Cuba,1
2024,4,Magdalena,Santa Marta,Rumania,13
2024,4,Antioquia,Jardín,Estados Unidos,18
2024,4,Risaralda,Dosquebradas,Países Bajos,2
2024,4,Cundinamarca,Bojacá,Panamá,3
2024,4,Nariño,Pasto,India,1
2024,4,Antioquia,Apartadó,Francia,4
2024,4,Vichada,Puerto Carreño,República Dominicana,4
2024,4,La Guajira,Riohacha,República Dominicana,3
2024,4,Sucre,San Luis de Sincé,España,1
2024,4,San Andres y Providencia,Providencia,Italia,1
2024,4,Antioquia,Abejorral,Brasil,13
2024,4,Risaralda,Pereira,Israel,4
2024,4,Cesar,Valledupar,Rumania,6
2024,4,Cundinamarca,Cajicá,Francia,2
2024,4,Risaralda,Dosquebradas,Venezuela,8
2024,4,Santander,Bolívar,República Dominicana,1
2024,4,Casanare,Tauramena,Argentina,1
2024,4,Nariño,Pasto,República Dominicana,4
2024,4,Cauca,Almaguer,Suiza,1
2024,4,Antioquia,Sabanalarga,Panamá,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Francia,4067
2024,4,Atlántico,Barranquilla,Singapur,2
2024,4,Magdalena,Ciénaga,España,2
2024,4,Putumayo,San Miguel,España,1
2024,4,Antioquia,Guatape,Estados Unidos,91
2024,4,Santander,Floridablanca,Islas Vírgenes Británicas,2
2024,4,Valle del Cauca,Alcalá,Estados Unidos,37
2024,4,Amazonas,Leticia,Portugal,1
2024,4,Bolívar,Clemencia,España,1
2024,4,Putumayo,Valle del Guamuez,Ecuador,10
2024,4,Quindío,Armenia,Paraguay,2
2024,4,Santander,Bucaramanga,Bolivia,4
2024,4,Quindío,Calarca,Ecuador,21
2024,4,Tolima,Melgar,Estados Unidos,23
2024,4,Cundinamarca,Chocontá,Venezuela,1
2024,4,Antioquia,Medellín,Costa de Marfil,1
2024,4,La Guajira,Uribia,Venezuela,1
2024,4,Bolívar,Achí,Chile,6
2024,4,Caldas,Chinchiná,España,2
2024,4,Casanare,Támara,México,1
2024,4,Caquetá,Cartagena del Chairá,Argentina,2
2024,4,Caldas,Villamaría,Venezuela,2
2024,4,Cundinamarca,Anapoima,Bélgica,1
2024,4,Risaralda,Pereira,Austria,2
2024,4,Sucre,San Marcos,Perú,1
2024,4,Santander,Floridablanca,Surinam,3
2024,4,Santander,Piedecuesta,Aruba,2
2024,4,Bogota D.C.,"Bogotá, D.C.",Jordania,6
2024,4,Amazonas,Leticia,Corea del Sur,1
2024,4,Risaralda,Pereira,Estonia,1
2024,4,Antioquia,Envigado,Paraguay,3
2024,4,Antioquia,Medellín,Italia,423
2024,4,Atlántico,Barranquilla,Myanmar,1
2024,4,Cundinamarca,Sopó,Países Bajos,1
2024,4,Caquetá,Florencia,Argentina,1
2024,4,San Andres y Providencia,San Andrés,Marruecos,1
2024,4,Cundinamarca,Funza,Alemania,1
2024,4,Cundinamarca,Tabio,Honduras,2
2024,4,Antioquia,Medellín,Noruega,33
2024,4,Arauca,Arauca,Canadá,1
2024,4,Antioquia,Abejorral,El Salvador,6
2024,4,Norte de Santander,Abrego,Chile,4
2024,4,Cundinamarca,La Vega,Países Bajos,1
2024,4,Risaralda,Pereira,Eslovaquia,4
2024,4,La Guajira,Maicao,Chile,2
2024,4,Antioquia,Medellín,Francia,911
2024,4,San Andres y Providencia,San Andrés,Corea del Sur,4
2024,4,Antioquia,Abejorral,Japón,1
2024,4,Cesar,Astrea,Italia,1
2024,4,Valle del Cauca,Bugalagrande,España,2
2024,4,Antioquia,Frontino,Canadá,1
2024,4,Magdalena,Santa Ana,Chile,5
2024,4,Sucre,Sincelejo,Canadá,4
2024,4,Boyacá,Villa de Leyva,Brasil,1
2024,4,Antioquia,El Carmen de Viboral,Alemania,2
2024,4,Quindío,La Tebaida,Aruba,1
2024,4,Cundinamarca,Chipaque,Argentina,1
2024,4,Risaralda,Pereira,España,160
2024,4,Valle del Cauca,Alcalá,Brasil,7
2024,4,Cundinamarca,El Rosal,República Dominicana,3
2024,4,Cundinamarca,La Vega,Bolivia,2
2024,4,Antioquia,Envigado,Líbano,1
2024,4,Magdalena,Algarrobo,Estados Unidos,4
2024,4,Putumayo,Mocoa,Suecia,1
2024,4,Bolívar,Cartagena,Bonaire-San Esustaquio y Saba,2
2024,4,Norte de Santander,Pamplonita,Ecuador,2
2024,4,Antioquia,Peñol,Italia,1
2024,4,Antioquia,Ebéjico,Ecuador,1
2024,4,Santander,Bucaramanga,España,51
2024,4,Valle del Cauca,Bugalagrande,El Salvador,1
2024,4,Antioquia,San Rafael,México,1
2024,4,Cundinamarca,Mosquera,Rusia,4
2024,4,Bolívar,San Juan Nepomuceno,Estados Unidos,1
2024,4,Nariño,Ipiales,Eslovaquia,2
2024,4,Casanare,Villanueva,Francia,2
2024,4,Antioquia,Apartadó,Brasil,1
2024,4,Cundinamarca,Fusagasugá,Bolivia,1
2024,4,Antioquia,Sabaneta,República Dominicana,16
2024,4,Antioquia,Puerto Triunfo,Costa Rica,12
2024,4,Valle del Cauca,Cali,Antillas Neerlandesas,5
2024,4,Antioquia,Medellín,Kazajistán,1
2024,4,Quindío,Calarca,Chile,4
2024,4,Boyacá,Almeida,El Salvador,1
2024,4,Antioquia,Medellín,Letonia,4
2024,4,Bolívar,Arjona,Venezuela,1
2024,4,La Guajira,Maicao,Argentina,3
2024,4,Chocó,Acandí,República Dominicana,1
2024,4,Antioquia,Abriaquí,Costa Rica,7
2024,4,Antioquia,Envigado,Reino Unido,12
2024,4,Valle del Cauca,Tuluá,Hungría,1
2024,4,San Andres y Providencia,San Andrés,Noruega,1
2024,4,Antioquia,Puerto Berrío,Estados Unidos,3
2024,4,Antioquia,Envigado,Brasil,7
2024,4,Santander,Los Santos,Australia,1
2024,4,Nariño,Pasto,Francia,5
2024,4,Boyacá,Chiquinquirá,Estados Unidos,1
2024,4,Atlántico,Barranquilla,Croacia,1
2024,4,Putumayo,Mocoa,Eslovaquia,1
2024,4,Antioquia,Envigado,Corea del Sur,1
2024,4,Quindío,Montenegro,Jamaica,1
2024,4,Sucre,Sincelejo,Paraguay,1
2024,4,Cesar,Valledupar,Canadá,3
2024,4,Cesar,El Copey,República Dominicana,1
2024,4,La Guajira,Maicao,Reino Unido,2
2024,4,Santander,Bucaramanga,Perú,43
2024,4,Bolívar,Cartagena,Liechtenstein,2
2024,4,Quindío,La Tebaida,Guatemala,2
2024,4,Cundinamarca,Mosquera,Guatemala,1
2024,4,Valle del Cauca,El Cerrito,Grecia,4
2024,4,Cundinamarca,Arbeláez,Estados Unidos,1
2024,4,Cundinamarca,Fusagasugá,Serbia,3
2024,4,Atlántico,Barranquilla,Belice,1
2024,4,Nariño,San Andres de Tumaco,Mónaco,2
2024,4,Cundinamarca,Anapoima,Chile,4
2024,4,Córdoba,Montelíbano,Panamá,1
2024,4,Antioquia,Caicedo,Estados Unidos,1
2024,4,Bolívar,Achí,Bolivia,2
2024,4,Tolima,Honda,Brasil,3
2024,4,Huila,Acevedo,Canadá,1
2024,4,Valle del Cauca,Yumbo,Estados Unidos,51
2024,4,Santander,Guavatá,Guatemala,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Líbano,20
2024,4,Quindío,Salento,Etiopía,2
2024,4,Bolívar,Calamar,Estados Unidos,1
2024,4,Antioquia,Envigado,Polonia,1
2024,4,Antioquia,Necoclí,Venezuela,6
2024,4,Cundinamarca,Subachoque,Países Bajos,2
2024,4,Antioquia,Peñol,Alemania,1
2024,4,Bolívar,Turbaco,Italia,1
2024,4,Amazonas,El Encanto,Japón,2
2024,4,Norte de Santander,Ocaña,Estados Unidos,1
2024,4,Antioquia,Retiro,Estados Unidos,64
2024,4,San Andres y Providencia,San Andrés,Organismos internacionales,2
2024,4,Cundinamarca,Madrid,Costa Rica,1
2024,4,Antioquia,Montebello,Estados Unidos,13
2024,4,Antioquia,Jardín,Venezuela,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Senegal,1
2024,4,Valle del Cauca,Alcalá,Panamá,6
2024,4,Valle del Cauca,Florida,Reino Unido,1
2024,4,Valle del Cauca,Caicedonia,Reino Unido,1
2024,4,Valle del Cauca,Buenaventura,Croacia,1
2024,4,Norte de Santander,Cúcuta,Curazao,3
2024,4,Boyacá,Villa de Leyva,México,34
2024,4,Córdoba,Montería,Chile,24
2024,4,Boyacá,Duitama,Alemania,1
2024,4,Cundinamarca,Ubaque,Estados Unidos,1
2024,4,Bogota D.C.,"Bogotá, D.C.",República Democratica del Congo,1
2024,4,Tolima,Melgar,México,1
2024,4,Norte de Santander,Cucutilla,Guatemala,1
2024,4,Córdoba,Puerto Escondido,Estados Unidos,1
2024,4,Cundinamarca,Cota,Ecuador,3
2024,4,Cundinamarca,La Calera,Perú,2
2024,4,Atlántico,Sabanagrande,Italia,1
2024,4,Cundinamarca,Funza,Perú,2
2024,4,Magdalena,Santa Marta,Trinidad y Tobago,1
2024,4,Amazonas,Puerto Nariño,Chile,1
2024,4,Valle del Cauca,Cali,Hungría,15
2024,4,Norte de Santander,Cucutilla,Países Bajos,1
2024,4,Sin Especificar,Sin Especificar,Guyana,1
2024,4,San Andres y Providencia,Providencia,Perú,40
2024,4,Sucre,Coveñas,España,1
2024,4,Antioquia,Guatape,China,1
2024,4,Bolívar,Cartagena,Curazao,8
2024,4,Córdoba,Montería,Polonia,1
2024,4,Boyacá,Sogamoso,Chile,1
2024,4,La Guajira,Uribia,Chile,1
2024,4,Sucre,Coloso,Ecuador,5
2024,4,Atlántico,Barranquilla,Islas Caimán,3
2024,4,Meta,El Dorado,Guatemala,1
2024,4,Norte de Santander,Villa Caro,Chile,1
2024,4,Sucre,Sampués,Panamá,1
2024,4,Antioquia,Olaya,El Salvador,1
2024,4,Antioquia,Jericó,Estados Unidos,5
2024,4,Antioquia,Turbo,Filipinas,2
2024,4,Quindío,La Tebaida,Estados Unidos,36
2024,4,Cundinamarca,San Francisco,México,2
2024,4,Santander,Floridablanca,India,2
2024,4,Bogota D.C.,"Bogotá, D.C.",Belice,14
2024,4,Bogota D.C.,"Bogotá, D.C.",Guatemala,1663
2024,4,Antioquia,San Jerónimo,Venezuela,1
2024,4,Antioquia,Itagui,Alemania,2
2024,4,Quindío,Quimbaya,Chile,4
2024,4,Cundinamarca,Zipaquirá,Canadá,3
2024,4,Boyacá,Villa de Leyva,Venezuela,2
2024,4,Cundinamarca,Arbeláez,México,1
2024,4,Antioquia,Rionegro,Guatemala,10
2024,4,Cundinamarca,Tabio,Venezuela,1
2024,4,Cundinamarca,Tocancipá,Venezuela,6
2024,4,Sucre,Sincelejo,Puerto Rico,1
2024,4,Cundinamarca,Chía,Perú,22
2024,4,Valle del Cauca,Cali,India,39
2024,4,Córdoba,San Bernardo del Viento,Panamá,2
2024,4,Cundinamarca,Cogua,Alemania,1
2024,4,Valle del Cauca,Buenaventura,Francia,2
2024,4,Cundinamarca,Tenjo,Argentina,2
2024,4,Cundinamarca,Subachoque,México,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Eslovenia,40
2024,4,Valle del Cauca,Jamundí,Reino Unido,1
2024,4,Bogota D.C.,"Bogotá, D.C.",San Vicente y las Granadinas,3
2024,4,Cundinamarca,Fusagasugá,Perú,2
2024,4,Antioquia,Retiro,Chile,1
2024,4,Antioquia,Turbo,Panamá,1
2024,4,Córdoba,Montería,Alemania,5
2024,4,Santander,Barbosa,Perú,2
2024,4,Valle del Cauca,Trujillo,Chile,1
2024,4,Boyacá,Paipa,México,1
2024,4,Amazonas,Leticia,Chile,18
2024,4,Antioquia,Marinilla,Brasil,1
2024,4,Atlántico,Barranquilla,Estados Unidos,3072
2024,4,Valle del Cauca,Cali,Rumania,6
2024,4,Bolívar,Cartagena,Eslovenia,12
2024,4,La Guajira,Dibulla,Italia,1
2024,4,Valle del Cauca,Guadalajara de Buga,Suiza,1
2024,4,Cundinamarca,Zipacón,Reino Unido,1
2024,4,Antioquia,Angostura,Estados Unidos,1
2024,4,Risaralda,Pereira,Costa Rica,31
2024,4,Antioquia,Bello,Curazao,1
2024,4,Antioquia,Bello,Perú,10
2024,4,Cundinamarca,La Calera,Argentina,4
2024,4,Santander,Bucaramanga,San Cristóbal y Nieves,1
2024,4,Magdalena,Santa Marta,Bulgaria,1
2024,4,San Andres y Providencia,San Andrés,Alemania,15
2024,4,Antioquia,Amagá,Estados Unidos,5
2024,4,La Guajira,Maicao,Francia,1
2024,4,Santander,Barichara,Suiza,1
2024,4,Putumayo,Mocoa,Alemania,1
2024,4,Valle del Cauca,Tuluá,Estados Unidos,67
2024,4,Atlántico,Sabanalarga,Alemania,1
2024,4,Antioquia,Itagui,Ecuador,12
2024,4,Valle del Cauca,Alcalá,Chile,3
2024,4,Bolívar,Cartagena,Senegal,1
2024,4,Valle del Cauca,Guadalajara de Buga,Israel,1
2024,4,Atlántico,Juan de Acosta,Perú,1
2024,4,Nariño,Pasto,Alemania,7
2024,4,Cesar,Aguachica,Argentina,1
2024,4,Caldas,Manizales,Brasil,8
2024,4,Bolívar,Cartagena,Irlanda,81
2024,4,Cundinamarca,La Mesa,Francia,1
2024,4,Santander,Mogotes,Ecuador,1
2024,4,Bolívar,Cartagena,Puerto Rico,129
2024,4,Boyacá,Paipa,Perú,2
2024,4,Córdoba,Montelíbano,Australia,1
2024,4,Antioquia,San Rafael,Suiza,1
2024,4,San Andres y Providencia,San Andrés,Cuba,3
2024,4,Putumayo,Mocoa,Suiza,1
2024,4,Tolima,Espinal,Estados Unidos,2
2024,4,Antioquia,Medellín,Rumania,27
2024,4,Magdalena,Santa Marta,Francia,115
2024,4,Boyacá,Ramiriquí,Venezuela,1
2024,4,Caldas,La Dorada,Sudáfrica,1
2024,4,Cundinamarca,Tenjo,Reino Unido,1
2024,4,La Guajira,Villanueva,Estados Unidos,2
2024,4,San Andres y Providencia,San Andrés,México,99
2024,4,Valle del Cauca,Cartago,Costa Rica,2
2024,4,Valle del Cauca,Dagua,México,2
2024,4,Santander,Bucaramanga,Noruega,4
2024,4,Bolívar,Cartagena,Chile,3028
2024,4,Sucre,Coveñas,Uruguay,1
2024,4,Bolívar,Turbaco,Francia,1
2024,4,Valle del Cauca,Sevilla,Cuba,1
2024,4,Cundinamarca,Zipaquirá,Austria,1
2024,4,Bogota D.C.,"Bogotá, D.C.",Armenia,4
2024,4,Boyacá,Tunja,Venezuela,16
2024,4,Magdalena,Santa Marta,Croacia,1
2024,4,Atlántico,Baranoa,Puerto Rico,1
2024,4,Cundinamarca,El Rosal,Panamá,1
2024,4,Risaralda,Pereira,China,12
2024,4,Santander,Bolívar,Aruba,1
2024,4,Norte de Santander,Cachirá,Estados Unidos,1
2024,4,Norte de Santander,Villa del Rosario,Canadá,1
2024,4,Norte de Santander,Bochalema,Venezuela,1
2024,4,Antioquia,Itagui,Bolivia,1
2024,4,Norte de Santander,Pamplona,Reino Unido,1
2024,4,Valle del Cauca,Cali,Canadá,253
2024,4,Antioquia,Envigado,Aruba,8
2024,4,San Andres y Providencia,San Andrés,Portugal,8
2024,4,Valle del Cauca,La Unión,España,3
2024,4,Valle del Cauca,Cali,Camerún,1
2024,4,Bolívar,Cartagena,Túnez,4
2024,4,Boyacá,Tunja,Estonia,1
2024,4,Cundinamarca,Cajicá,Chile,8
2024,4,Chocó,Quibdó,Italia,1
2024,4,Antioquia,Copacabana,Canadá,1
2024,4,Bolívar,Cartagena,Ghana,5
2024,4,Sin Especificar,Sin Especificar,Japón,1
2024,4,Santander,Cerrito,Venezuela,1
2024,4,Nariño,Belén,Ecuador,3
2024,4,Risaralda,Santa Rosa de Cabal,Canadá,16
2024,4,Antioquia,Sabaneta,Brasil,3
2024,4,Boyacá,Duitama,Nicaragua,3
2024,4,Risaralda,Santa Rosa de Cabal,Francia,1
2024,4,Valle del Cauca,Cali,Lituania,3
2024,4,Caldas,Manizales,Japón,1
2024,4,Santander,Lebrija,Suiza,1
2024,4,Cundinamarca,Fusagasugá,Ecuador,3
2024,4,Valle del Cauca,Guadalajara de Buga,Ecuador,4
2024,4,Bogota D.C.,"Bogotá, D.C.",Madagascar,4
2024,4,Santander,Bucaramanga,Georgia,1
2024,4,Antioquia,Envigado,Grecia,1
2024,4,Norte de Santander,Cúcuta,Dinamarca,1
2024,4,Antioquia,Medellín,Omán,1
2024,4,Nariño,Pasto,Cuba,3
2024,4,Magdalena,Santa Marta,Hong Kong,1
2024,4,Valle del Cauca,Cali,Trinidad y Tobago,5
2024,4,Meta,Granada,Ecuador,2
2024,4,Cesar,La Jagua de Ibirico,Estados Unidos,36
2024,4,Antioquia,Medellín,Emiratos Árabes Unidos,5
2024,4,Magdalena,Santa Marta,Japón,1
2024,4,Huila,Neiva,Suecia,1
2024,4,Caldas,Chinchiná,Chile,1
2024,4,Quindío,Armenia,Bielorrusia,1
2024,4,Nariño,San Andres de Tumaco,Israel,1
2024,4,Putumayo,Mocoa,Canadá,3
2024,4,Bolívar,Cartagena,Noruega,53
2024,4,Norte de Santander,Pamplona,Australia,2
2024,4,Bogota D.C.,"Bogotá, D.C.",Indonesia,67
2024,4,Antioquia,Sabaneta,Puerto Rico,13
2024,4,Antioquia,Rionegro,Reino Unido,17
2024,4,Risaralda,Santa Rosa de Cabal,Reino Unido,1
2024,4,Antioquia,Chigorodó,Brasil,2
2024,4,Meta,Villavicencio,Estados Unidos,102
